community,id,cn
0,19,马晓晴
0,57,李纬
0,69,田壮壮
0,86,龚蓓苾
0,87,黄圣依
0,91,秦海璐
0,99,方青卓
0,102,瞿颖
0,113,郑保瑞
0,116,周丽淇
0,117,关智斌
0,120,黄浩然
0,121,马伟豪
0,128,阿甘
0,129,古巨基
0,137,刘奋斗
0,138,罗异
0,157,修健
0,174,斯琴高娃
0,263,张东健
0,266,李凡秀
0,316,王家卫
0,318,张学友
0,319,张国荣
0,320,张曼玉
0,321,刘嘉玲
0,322,梁朝伟
0,327,刘镇伟
0,330,陈勋奇
0,358,张力
0,403,陈凯歌
0,407,张丰毅
0,408,巩俐
0,426,徐杰
0,453,张光北
0,460,袁苑
0,485,黄玲
0,544,许鞍华
0,548,黎明
0,550,吴辰君
0,553,黄百鸣
0,596,梁咏琪
0,598,金培达
0,641,李国华
0,642,沈丹萍
0,652,秦怡
0,661,雷恪生
0,691,颜丹晨
0,713,侯耀华
0,813,普超英
0,833,午马
0,852,马羚
0,880,刘琳
0,887,安亚平
0,904,杨蕊
0,920,史可
0,939,曲江涛
0,948,陈木胜
0,949,袁锦麟
0,954,古天乐
0,955,樊少皇
0,956,张家辉
0,957,徐熙媛
0,958,张兆辉
0,977,李忠志
0,1004,赵飞
0,1089,迟志强
0,1100,梁丹妮
0,1102,王伟
0,1109,徐耿
0,1160,郑秀文
0,1165,郑希怡
0,1166,黄奕
0,1171,方俊
0,1186,邬君梅
0,1204,甄子丹
0,1206,刘家良
0,1209,白彪
0,1215,米雪
0,1226,姜国民
0,1270,董玮
0,1279,赵静
0,1368,林志玲
0,1373,尤勇智
0,1395,王薇
0,1401,于冬
0,1550,林迪安
0,1551,元奎
0,1560,梁柏坚
0,1612,赵小丁
0,1714,林辉泰
0,1743,谢霆锋
0,1744,蔡卓妍
0,1745,梁洛施
0,1746,张致恒
0,1747,钟镇涛
0,1748,陈惠敏
0,1749,卓韵芝
0,1752,黎耀祥
0,1753,刘以达
0,1755,李健仁
0,1758,谭耀文
0,1759,黄一飞
0,1760,元华
0,1799,章杰
0,1849,邱礼涛
0,1851,李子雄
0,1873,智磊
0,1895,王彦
0,1908,梁琤
0,1909,陈小春
0,1911,于荣光
0,1912,张同祖
0,1946,鲍起静
0,1992,文隽
0,1993,万梓良
0,2031,李小萌
0,2068,孔祥玉
0,2079,刘德华
0,2080,张柏芝
0,2081,秦煌
0,2086,张萌
0,2088,黄志伟
0,2094,Wing-cheong Law
0,2162,向华强
0,2168,陈庆嘉
0,2169,任贤齐
0,2170,陈慧琳
0,2171,许绍雄
0,2172,林雪
0,2174,李海涛
0,2209,张驰
0,2220,梁天
0,2230,叶伟信
0,2260,王志华
0,2315,黄秋生
0,2325,徐小明
0,2344,蔡明
0,2355,霍建起
0,2357,丁荫楠
0,2371,康宁
0,2435,刘谦
0,2491,郑佩佩
0,2529,喻亢
0,2556,叶静
0,2575,刘松仁
0,2576,林熙蕾
0,2578,谢君豪
0,2579,朱孝天
0,2595,傅艺伟
0,2604,唐丹
0,2611,刘磊
0,2633,刘冬
0,2654,高亚麟
0,2767,刘洵
0,2771,洪金宝
0,2838,李爽
0,2876,祝延平
0,3092,章家瑞
0,3110,杨斯
0,3114,吕小龙
0,3140,潘长江
0,3165,朱时茂
0,3176,李力持
0,3178,陈逸宁
0,3179,戴梦梦
0,3180,江欣燕
0,3188,朱咪咪
0,3249,刘江
0,3251,伍宇娟
0,3278,赵阳
0,3289,杨溢
0,3301,谢贤
0,3322,吴启华
0,3346,连晋
0,3416,陈德森
0,3417,苏照彬
0,3429,陈龙
0,3449,刘亦菲
0,3450,邹兆龙
0,3458,杨少华
0,3472,李锐
0,3500,袁和平
0,3679,陈广鸿
0,3714,陈果
0,3778,李蕙敏
0,3780,马海伦
0,3781,吴雨霏
0,3783,邓丽欣
0,3784,杜汶泽
0,3788,雷宇扬
0,3861,松本实
0,3925,马恩然
0,3943,李勤勤
0,3971,王艳
0,4062,李若彤
0,4123,王合喜
0,4128,江汉
0,4212,朱茵
0,4256,狄威
0,4259,朱延平
0,4279,汪洋
0,4287,刘玉
0,4340,张秉坚
0,4408,娜仁花
0,4431,王雷
0,4458,于小慧
0,4502,汤湘竹
0,4503,何冰
0,4504,蒋恺
0,4585,李丽珍
0,4622,梅婷
0,4649,徐啸力
0,4698,尔冬升
0,4700,沈海蓉
0,4722,穆怀虎
0,4735,廖京生
0,4745,张艾嘉
0,4746,于承惠
0,4810,伊恩·鲍尔斯
0,4812,潘恒生
0,4871,张坚庭
0,4872,徐子珊
0,4887,胡大为
0,4986,党昊
0,5026,孙浩
0,5304,唐嫣
0,5334,王建成
0,5335,陈大明
0,5337,金宏
0,5392,李颉
0,5442,李耿
0,5462,黄光亮
0,5465,蒋钦民
0,5476,王馥荔
0,5487,石头
0,5660,赵珍奎
0,5717,彩虹
0,5750,金琛
0,5768,罗棋
0,5770,元彪
0,5771,原子鏸
0,5772,李滨
0,5789,耿乐
0,5807,李霄峰
0,5818,成艺
0,5975,刘国楠
0,5984,王毓雅
0,5985,袁咏仪
0,5987,林依晨
0,6066,梁小龙
0,6067,元秋
0,6070,冯克安
0,6071,袁祥仁
0,6075,丁小龙
0,6078,陈凯师
0,6079,钱升玮
0,6087,林子善
0,6135,程小东
0,6136,阮世生
0,6142,原岛大地
0,6154,李远
0,6161,张晋
0,6214,叶伟民
0,6301,苏瑾
0,6304,常蓝天
0,6310,胡雪桦
0,6312,卢燕
0,6572,王雅捷
0,6573,曾黎
0,6591,林志颖
0,6592,杨恭如
0,6621,丛珊
0,6623,李光洁
0,6625,张瑶
0,6626,李凯
0,6642,邹文怀
0,6732,徐锦江
0,6737,孟海
0,6904,黄晓明
0,6906,洪天明
0,6909,梁家仁
0,6910,吴耀汉
0,6932,张智霖
0,6934,何润东
0,6954,郭德纲
0,6956,刘金山
0,6984,王海珍
0,6985,龙比意
0,6987,温碧霞
0,7002,王文林
0,7020,刘鑫
0,7025,铁南
0,7066,秦俊杰
0,7068,程珑
0,7233,艾敬
0,7392,高曙光
0,7406,郑卫莉
0,7447,莫文蔚
0,7491,范妮莎·布兰奇
0,7542,陈苗
0,7545,李心洁
0,7887,章子怡
0,7922,刘伟强
0,7925,吴镇宇
0,7926,余文乐
0,7933,廖启智
0,7936,连凯
0,7940,段伟伦
0,8034,李达超
0,8071,林家栋
0,8072,吴廷烨
0,8074,尹扬明
0,8167,黄明
0,8213,郑雨盛
0,8256,弗兰基·费森
0,8454,林嘉华
0,8455,黄德斌
0,8456,郑浩南
0,8457,伍允龙
0,8458,吴浩康
0,8494,彭敬慈
0,8498,宋岱
0,8615,郭富城
0,8620,于海
0,8638,秦汉
0,8639,刘若英
0,8646,杨青
0,8660,冯德伦
0,8677,薛家燕
0,8679,陈观泰
0,8683,刘永
0,8686,恬妞
0,8687,杨盼盼
0,8694,高宝宝
0,8862,郝洋
0,8875,姚明
0,9196,伊丽莎白·宋
0,9257,金舸
0,9361,林浩然
0,9379,王玉璋
0,9386,吕燕
0,9387,刘倩
0,9464,金依萌
0,9465,毛舜筠
0,9471,中井贵一
0,9660,于洋
0,9882,杜玉明
0,9950,刘浩良
0,9952,吴建豪
0,9967,蓝洁瑛
0,9968,罗家英
0,9972,江约诚
0,10018,李国麟
0,10062,郑思杰
0,10065,杜德伟
0,10066,尹子维
0,10068,吴天瑜
0,10074,李海蜀
0,10075,金喜善
0,10078,叶山豪
0,10091,元德
0,10119,秦小珍
0,10216,杨建平
0,10222,庹宗华
0,10225,柯宇纶
0,10226,阮德锵
0,10465,郑则仕
0,10470,泰迪罗宾
0,10571,胡凯莉
0,10729,孙松
0,10759,苏小明
0,10766,刘长纯
0,10900,王九胜
0,10911,柳莺
0,10933,郑晓东
0,11085,马俪文
0,11137,郑伊健
0,11140,康凯
0,11148,麦子善
0,11252,李卉
0,11314,罗启锐
0,11409,陈会毅
0,11411,惠天赐
0,11415,周俊伟
0,11416,陈美诗
0,11443,黑木瞳
0,11460,王威
0,11462,陈浩
0,11482,刘德凯
0,11529,陈百祥
0,11533,黎彼得
0,11536,黄一山
0,11538,苑琼丹
0,11997,黄智贤
0,11998,于娜
0,12042,陆弈静
0,12108,夏永康
0,12187,林岭东
0,12240,杨淇
0,12268,周笑莉
0,12288,王宇婕
0,12428,陈嘉上
0,12498,胡静
0,12971,陈晓东
0,13204,宫哲
0,13209,沈扬
0,13308,范建会
0,13363,陈松勇
0,13390,徐少强
0,13394,叶童
0,13444,李颖
0,13592,卢思思
0,13603,王磊
0,13674,梁敏仪
0,13677,何华超
0,13680,蒋雅文
0,13683,蒋怡
0,13720,李天翔
0,13749,王夜
0,13788,张家鲁
0,13797,杨林
0,13836,叮当
0,13837,李嘉存
0,13913,宋江波
0,13918,应采儿
0,13922,方舟波
0,13935,胡蓉蓉
0,13988,鲍国安
0,14008,卢海鹏
0,14009,蔡一智
0,14010,高捷
0,14050,戴立忍
0,14321,张敏
0,14363,孟瑶
0,14522,赵文卓
0,14550,臧金生
0,14678,徐若瑄
0,14696,郜妍
0,14836,李虹
0,14889,孟广美
0,14922,张卫健
0,14923,许志安
0,14927,梁汉文
0,14929,苏永康
0,14944,陈宝辕
0,14948,麦家琪
0,14950,黄文慧
0,15197,黄真真
0,15206,艾威
0,15208,陈国邦
0,15300,霍耀良
0,15311,蔡少芬
0,15321,王晶
0,15499,萧炳林
0,15635,关宝慧
0,15671,唐伟成
0,15676,刘玉翠
0,15684,梁焯满
0,15766,陈萍
0,15775,彭浩翔
0,15777,黄又南
0,15778,曾国祥
0,15779,徐天佑
0,15781,吴日言
0,15784,詹瑞文
0,15785,张达明
0,15789,钟继昌
0,15819,车婉婉
0,15820,周海媚
0,15841,叶伟英
0,16120,彭发
0,16122,林海峰
0,16123,彭顺
0,16140,彭鹏
0,16160,黄精甫
0,16161,郑旦瑞
0,16162,刘心悠
0,16163,陈友
0,16165,玛利亚
0,16190,高翔
0,16217,冯淬帆
0,16218,谭咏麟
0,16220,钟少雄
0,16223,汤镇业
0,16226,吴毅将
0,16303,余安安
0,16306,邹凯光
0,16308,唐文龙
0,16331,赵崇基
0,16332,高志森
0,16359,石峰
0,16379,叶德娴
0,16388,刘国昌
0,16509,王羽
0,16532,陈雅伦
0,16702,楼南光
0,16703,罗莽
0,16717,戴伦·萨赫拉维
0,16763,黄日华
0,16820,赵雅芝
0,16828,陈秀珠
0,16829,刘兆铭
0,16833,罗礼贤
0,16853,石天
0,16907,陈丽英
0,16916,王伟
0,16983,陈静波
0,16992,金莎
0,17059,火星
0,17064,李香琴
0,17066,麦嘉
0,17068,郑祖
0,17074,黄伟文
0,17076,森美
0,17078,谢天华
0,17083,周楠
0,17098,程东
0,17101,罗冠兰
0,17102,商天娥
0,17112,吴志雄
0,17113,何超仪
0,17115,安雅
0,17147,容祖儿
0,17160,李菁
0,17175,王道
0,17186,杜娟
0,17199,林保怡
0,17219,许冠文
0,17238,骆应钧
0,17240,陈国坤
0,17249,谷祖琳
0,17275,姜大卫
0,17297,黄志强
0,17340,刘宝贤
0,17342,张学润
0,17390,何家劲
0,17416,郑中基
0,17482,邵音音
0,17676,叶世荣
0,17734,司徒慧焯
0,17736,黄凯森
0,17809,太保
0,17904,陈子聪
0,18405,全智贤
0,18527,杜丽莎
0,18531,李逸朗
0,18596,苏志威
0,18597,阮小仪
0,18608,夏萍
0,18628,许秦豪
0,18641,官恩娜
0,18652,卢巧音
0,18657,许素莹
0,18660,晴朗
0,18666,邓健泓
0,18667,王志安
0,18778,苗可秀
0,18782,王敏奕
0,18833,梁普智
0,18926,郑嘉颖
0,18932,魏骏杰
0,18953,陈键锋
0,18958,卢宛茵
0,18959,唐宁
0,18978,黄恺欣
0,18985,鲁振顺
0,19000,佘诗曼
0,19015,欧锦棠
0,19016,田蕊妮
0,19048,黄柏基
0,19235,陈曼娜
0,19330,叶念琛
0,19425,温兆伦
0,19513,吴浣仪
0,19569,冯志强
0,19571,徐娇
0,19596,潘源良
0,19602,杨晶
0,19616,周慧敏
0,19632,骆达华
0,19640,宋承宪
0,19657,关信辉
0,19711,姜皓文
0,19817,陈淑贤
0,19862,吴元俊
0,19942,夏春秋
0,20016,罗惠德
0,20041,谷垣健治
0,20054,虹萱
0,20151,蒋志光
0,20187,王盛德
0,20409,林小湛
0,20696,麦长青
0,20956,雷龙
0,21090,刘锡明
0,21110,林苑
0,21121,邝美宝
0,21136,刘浩龙
0,21137,卢觅雪
0,21158,余慕莲
0,21214,江美仪
0,21447,泳儿
0,21448,李曼筠
0,21454,刘家勇
0,22108,罗嘉良
0,22216,程小龙
0,22330,汤志伟
0,22720,王祖蓝
0,22721,吴佩慈
0,22917,聂安达
0,23016,邝文伟
0,23089,古明华
0,23094,唐诗咏
0,23219,夏文汐
0,23233,刘美君
0,23244,林德禄
0,23375,王宗尧
0,23546,蓝志伟
0,23547,陈炜
0,23799,原丽淇
0,24349,吴耀权
0,24473,胡耀辉
0,24695,刘永健
0,24772,阿Ken
0,24898,雪梨
0,25023,钟保罗
0,25143,林司敏
0,25252,陈浩民
0,25260,彭健新
0,25274,龚慈恩
0,25305,罗仲谦
0,25518,李保樟
0,25720,雷凯欣
0,26007,郑文辉
0,26221,关颖
0,26547,阎清
0,26585,张鹏
0,26758,白韵琴
0,27042,张赫
0,27308,贝安琪
0,27314,林子皓
0,27396,刘玉婷
0,27590,鲁芬
0,27593,陈虎
0,27595,傅华阳
0,27599,潘晓婷
0,27960,张海靖
0,27994,蔡一杰
0,28320,毕国书
0,28454,天心
0,28701,黄玉郎
0,28703,施明
0,29082,杨羚
0,29124,詹妮弗·林
0,29238,王柯
0,29637,姜宝成
0,29876,陆永
0,29878,郑融
0,29957,严华
0,30048,李克勤
0,31049,言承旭
0,31140,萧亚轩
0,31304,诸葛梓岐
0,31305,方皓玟
0,31351,潘灿良
0,31361,金正泰
0,32000,张敬轩
0,32030,谭凯琪
0,32349,麦咏麟
0,32406,白云
0,32447,吕珊
0,33094,王翰
0,33189,蒋国权
0,33285,石安妮
0,33395,周蕾
0,33415,张茜
0,33880,王亦蓝
0,34043,陈丽云
0,34089,金刚
0,34590,魏德圣
0,37184,凌风
0,37607,何静
0,37943,齐秦
0,38157,朱家麟
0,38240,尹馨
0,38296,范秀明
0,38480,马蹄露
0,38602,彭秀慧
0,38883,应昌佑
0,38948,邰正宵
0,39004,何晟铭
0,39265,段钧豪
0,39343,安钧璨
0,39541,李烈
0,39629,麦子
0,39640,林宗仁
0,39642,林晓培
0,39647,马如龙
0,39648,民雄
0,39650,马念先
0,39651,沛小岚
0,39692,连奕琦
0,39714,洪智育
0,39740,张孝全
0,39836,是元介
0,39842,林书宇
0,40226,蔡灿得
0,40301,赖雅妍
0,40342,张钧甯
0,40488,夏靖庭
0,40512,王琄
0,40658,胡陞忠
0,40739,河西健司
0,40740,金勤
0,40938,唐莹
0,40992,米七偶
0,41016,莫子仪
